iter	Passed	Remaining
224	71384	245881
225	71786	245851
226	72085	245471
227	72386	245097
228	72679	244698
229	72962	244264
230	73365	244234
231	73675	243890
232	73966	243485
233	74262	243100
234	74547	242676
235	74944	242618
236	75224	242178
237	75509	241758
238	75800	241357
239	76091	240956
240	76475	240849
241	76756	240417
242	77048	240023
243	77330	239598
244	77638	239252
245	78020	239136
246	78307	238726
247	78593	238316
248	78873	237888
249	79154	237464
250	79546	237371
251	79833	236966
252	80124	236573
253	80424	236206
254	80734	235872
255	81117	235746
256	81404	235344
257	81707	234989
258	81992	234581
259	82283	234191
260	82663	234056
261	82956	233670
262	83250	233290
263	83532	232877
264	83825	232497
265	84197	232333
266	84487	231946
267	84779	231561
268	85056	231139
269	85342	230741
270	85732	230624
271	86043	230293
272	86337	229917
273	86608	229480
274	86897	229093
275	87262	228905
276	87546	228504
277	87832	228112
278	88125	227737
279	88431	227394
280	88811	227242
281	89088	226828
282	89371	226429
283	89655	226031
284	89949	225662
285	90339	225531
286	90627	225148
287	90935	224812
288	91222	224426
289	91509	224040
290	91895	223897
291	92190	223530
292	92474	223138
293	92768	222769
294	93060	222399
295	93445	222248
296	93733	221867
297	94025	221496
298	94321	221133
299	94606	220749
300	94992	220597
301	95293	220248
302	95579	219864
303	95870	219492
304	96159	219117
305	96535	218939
306	96825	218566
307	97111	218186
308	97385	217778
309	97668	217391
310	98055	217235
311	98352	216880
312	98639	216503
313	98932	216139
314	99211	215746
315	99586	215560
316	99871	215181
317	100163	214816
318	100441	214423
319	100733	214059
320	101117	213891
321	101408	213525
322	101704	213170
323	101999	212812
324	102289	212447
325	102680	212290
326	102978	211941
327	103251	211539
328	103544	211180
329	103824	210794
330	104205	210614
331	104496	210251
332	104784	209883
333	105073	209517
334	105352	209133
335	105732	208948
336	106029	208597
337	106304	208206
338	106599	207854
339	106896	207505
340	107279	207322
341	107579	206981
342	107884	206648
343	108175	206287
344	108481	205957
345	108846	205738
346	109128	205361
347	109407	204981
348	109686	204601
349	109977	204243
350	110358	204052
351	110634	203668
352	110896	203258
353	111172	202874
354	111457	202506
355	111840	202317
356	112125	201951
357	112411	201587
358	112704	201235
359	112994	200879
360	113372	200678
361	113668	200332
362	113950	199963
363	114229	199587
364	114512	199221
365	114899	199033
366	115202	198700
367	115496	198352
368	115795	198014
369	116096	197678
370	116473	197471
371	116774	197135
372	117093	196830
373	117376	196464
374	117667	196111
375	118038	195892
376	118328	195539
377	118615	195182
378	118901	194822
379	119186	194461
380	119570	194263
381	119862	193913
382	120145	193550
383	120435	193199
384	120739	192870
385	121114	192653
386	121426	192337
387	121708	191973
388	121996	191619
389	122280	191259
390	122658	191045
391	122945	190690
392	123233	190338
393	123523	189987
394	123801	189620
395	124195	189429
396	124487	189083
397	124784	188744
398	125069	188387
399	125375	188063
400	125759	187855
401	126045	187500
402	126329	187142
403	126611	186782
404	126905	186441
405	127296	186241
406	127608	185925
407	127892	185570
408	128199	185247
409	128491	184902
410	128895	184718
411	129190	184378
412	129470	184017
413	129762	183673
414	130055	183330
415	130453	183136
416	130740	182786
417	131038	182451
418	131343	182125
419	131634	181780
420	132003	181544
421	132284	181185
422	132563	180825
423	132845	180469
424	133139	180129
425	133512	179897
426	133812	179566
427	134096	179213
428	134375	178854
429	134671	178518
430	135062	178308
431	135347	177956
432	135645	177623
433	135943	177291
434	136240	176956
435	136639	176753
436	136932	176414
437	137222	176070
438	137518	175735
439	137812	175397
440	138206	175187
441	138497	174845
442	138785	174500
443	139092	174179
444	139399	173857
445	139774	173621
446	140059	173272
447	140349	172930
448	140638	172587
449	140938	172257
450	141319	172027
451	141607	171683
452	141897	171341
453	142183	170996
454	142477	170660
455	142857	170425
456	143142	170079
457	143430	169736
458	143718	169393
459	144012	169057
460	144387	168817
461	144676	168476
462	144979	168150
463	145283	167827
464	145574	167488
465	145954	167252
466	146255	166925
467	146544	166584
468	146831	166242
469	147128	165910
470	147508	165672
471	147812	165349
472	148084	164990
473	148384	164663
474	148662	164311
475	149035	164064
476	149314	163713
477	149603	163374
478	149879	163021
479	150192	162708
480	150597	162495
481	150907	162179
482	151192	161835
483	151483	161499
484	151772	161160
485	152165	160932
486	152453	160592
487	152738	160249
488	153044	159929
489	153356	159615
490	153748	159385
491	154036	159045
492	154327	158710
493	154613	158369
494	154896	158025
495	155270	157774
496	155554	157432
497	155843	157095
498	156158	156784
499	156439	156439
500	156853	156227
501	157153	155901
502	157442	155564
503	157740	155236
504	158029	154900
505	158419	154662
506	158715	154332
507	159019	154010
508	159314	153680
509	159604	153345
510	159987	153100
511	160275	152762
512	160563	152425
513	160862	152099
514	161156	151768
515	161535	151517
516	161826	151183
517	162114	150848
518	162418	150527
519	162706	150190
520	163097	149949
521	163380	149609
522	163673	149277
523	163983	148961
524	164282	148636
525	164676	148396
526	164966	148062
527	165252	147725
528	165566	147413
529	165864	147087
530	166228	146819
531	166531	146497
532	166818	146162
533	167107	145827
534	167396	145493
535	167774	145237
536	168070	144909
537	168362	144578
538	168663	144255
539	168945	143916
540	169334	143668
541	169613	143326
542	169896	142988
543	170181	142652
544	170471	142320
545	170868	142077
546	171157	141744
547	171445	141411
548	171744	141086
549	172027	140749
550	172400	140486
551	172695	140159
552	172978	139821
553	173270	139492
554	173573	139171
555	173957	138915
556	174257	138592
557	174559	138271
558	174844	137936
559	175158	137624
560	175536	137362
561	175836	137039
562	176134	136715
563	176417	136379
564	176713	136053
565	177105	135801
566	177404	135478
567	177688	135143
568	177974	134810
569	178262	134478
570	178636	134212
571	178926	133882
572	179233	133565
573	179510	133225
574	179790	132888
575	180196	132644
576	180482	132312
577	180778	131987
578	181070	131659
579	181351	131323
580	181747	131070
581	182028	130734
582	182325	130410
583	182613	130080
584	182903	129751
585	183294	129494
586	183597	129175
587	183894	128851
588	184167	128510
589	184477	128196
590	184881	127946
591	185190	127631
592	185471	127296
593	185764	126970
594	186062	126647
595	186440	126379
596	186741	126058
597	187050	125743
598	187314	125397
599	187559	125039
600	187935	124769
601	188222	124439
602	188517	124115
603	188809	123789
604	189098	123460
605	189501	123207
606	189806	122889
607	190100	122565
608	190410	122250
609	190707	121927
610	191097	121664
611	191395	121342
612	191689	121017
613	192013	120711
614	192329	120401
615	192729	120143
616	193015	119813
617	193316	119493
618	193607	119167
619	193903	118844
620	194299	118582
621	194604	118264
622	194897	117939
623	195190	117614
624	195484	117290
625	195879	117027
626	196174	116703
627	196479	116385
628	196770	116060
629	197066	115737
630	197459	115471
631	197745	115142
632	198026	114811
633	198322	114489
634	198622	114169
635	199014	113901
636	199311	113579
637	199627	113268
638	199921	112944
639	200223	112625
640	200615	112357
641	200900	112028
642	201194	111705
643	201500	111388
644	201802	111069
645	202197	110801
646	202527	110497
647	202829	110178
648	203125	109856
649	203417	109532
650	203809	109262
651	204108	108941
652	204408	108621
653	204719	108307
654	205003	107978
655	205400	107709
656	205712	107396
657	206008	107074
658	206299	106750
659	206601	106431
660	206987	106155
661	207288	105836
662	207590	105517
663	207897	105201
664	208190	104877
665	208588	104607
666	208893	104290
667	209204	103975
668	209519	103663
669	209816	103342
670	210234	103080
671	210524	102755
672	210813	102430
673	211106	102108
674	211404	101787
675	211812	101519
676	212101	101194
677	212388	100868
678	212695	100552
679	212996	100233
680	213402	99964
681	213702	99644
682	213997	99322
683	214287	98998
684	214597	98683
685	214981	98402
686	215277	98081
687	215577	97761
688	215872	97440
689	216168	97119
690	216580	96850
691	216886	96533
692	217186	96213
693	217479	95891
694	217776	95570
695	218163	95289
696	218457	94967
697	218754	94647
698	219063	94332
699	219357	94010
700	219755	93733
701	220048	93411
702	220351	93092
703	220653	92774
704	220968	92462
705	221361	92181
706	221671	91866
707	221978	91550
708	222279	91231
709	222596	90919
710	222985	90636
711	223279	90315
712	223572	89993
713	223876	89675
714	224172	89355
715	224562	89072
716	224874	88758
717	225174	88439
718	225452	88111
719	225735	87786
720	226137	87506
721	226443	87190
722	226744	86871
723	227045	86553
724	227353	86237
725	227750	85955
726	228047	85635
727	228340	85314
728	228640	84995
729	228925	84671
730	229320	84387
731	229614	84066
732	229904	83744
733	230214	83429
734	230517	83111
735	230904	82824
736	231216	82510
737	231515	82191
738	231808	81869
739	232094	81546
740	232482	81259
741	232778	80939
742	233085	80622
743	233369	80299
744	233665	79979
745	234063	79694
746	234367	79377
747	234668	79059
748	234962	78739
749	235255	78418
750	235641	78128
751	235950	77813
752	236249	77494
753	236544	77174
754	236826	76850
755	237220	76563
756	237501	76238
757	237802	75921
758	238094	75600
759	238392	75281
760	238782	74992
761	239082	74674
762	239375	74353
763	239675	74035
764	239967	73715
765	240348	73422
766	240642	73102
767	240959	72789
768	241253	72470
769	241558	72153
770	241952	71863
771	242243	71543
772	242557	71229
773	242853	70910
774	243162	70595
775	243549	70302
776	243861	69988
777	244157	69669
778	244465	69354
779	244758	69034
780	245145	68741
781	245432	68419
782	245722	68099
783	246010	67778
784	246299	67457
785	246694	67166
786	247003	66851
787	247305	66534
