iter	r2_cbt	RMSE
0	0.0004624386218	0.8504259541
5	0.002290564956	0.8496479667
10	0.003711773336	0.8490429492
15	0.004857070033	0.8485545515
20	0.005737786358	0.8481795381
25	0.006485582359	0.8478601471
30	0.007099828471	0.8475984063
35	0.007661366399	0.8473582493
40	0.008219137178	0.8471204002
45	0.008678650912	0.8469244019
50	0.009107604278	0.8467408173
55	0.009518149465	0.8465658831
60	0.009913791447	0.8463968168
65	0.01025639499	0.8462494096
70	0.0106037187	0.8461013616
75	0.0109369592	0.8459587845
80	0.01125354833	0.8458232811
85	0.01172384125	0.8456220578
90	0.01199722792	0.8455054215
95	0.01226189805	0.8453919709
100	0.01250159045	0.8452892613
105	0.01274914104	0.8451837881
110	0.0129953452	0.845078384
115	0.01321934588	0.8449821661
120	0.01344720471	0.8448841711
125	0.01366273099	0.8447926961
130	0.01388208325	0.8446987873
135	0.01410041602	0.8446049503
140	0.01431465687	0.8445126643
145	0.01451353421	0.8444278477
150	0.01471493001	0.8443417484
155	0.01489291494	0.8442652175
160	0.01507467171	0.8441873642
165	0.01527356318	0.8441021037
170	0.01546445564	0.8440205761
175	0.01581705057	0.8438694641
180	0.01599315212	0.843794083
185	0.01615192675	0.8437257283
190	0.01630151052	0.8436616048
195	0.01645140818	0.8435973531
200	0.01661573766	0.8435263084
205	0.01678941951	0.8434526247
210	0.0169856567	0.8433678248
215	0.01713411305	0.8433045794
220	0.01729221232	0.8432361028
225	0.01746500539	0.8431625995
230	0.01764538555	0.8430850559
235	0.01777250755	0.8430306807
240	0.01793527509	0.8429601235
245	0.01817407126	0.8428583114
250	0.01832099123	0.842794616
255	0.01845082798	0.8427395632
260	0.01858939116	0.8426800181
265	0.01871178239	0.8426273464
270	0.01887827147	0.8425559728
275	0.01901607341	0.8424965795
280	0.01913126355	0.8424466974
285	0.01927554301	0.8423852778
290	0.01940710825	0.8423284267
295	0.0195541719	0.8422649797
300	0.01966700252	0.8422170204
305	0.01978193034	0.8421674926
310	0.01991841215	0.8421091845
315	0.02001867896	0.842065832
320	0.02011656927	0.8420240021
325	0.02026004568	0.8419621395
330	0.02035453525	0.841921541
335	0.02045473478	0.8418785498
340	0.02075405498	0.8417500165
345	0.02087729103	0.8416970392
350	0.02099192766	0.8416477282
355	0.02112760079	0.8415895078
360	0.02122906578	0.8415457574
365	0.02132171163	0.8415061285
370	0.02153290202	0.8414152761
375	0.02163609596	0.8413711866
380	0.02177606161	0.8413109259
385	0.02188610651	0.8412636135
390	0.02208362881	0.841178428
395	0.02219501315	0.8411308194
400	0.02229992651	0.8410846933
405	0.02241287147	0.8410364192
410	0.02252410761	0.8409890088
415	0.02262698733	0.8409443193
420	0.02272591262	0.8409028876
425	0.02307746149	0.8407511739
430	0.02336318038	0.8406282063
435	0.02345546757	0.8405890296
440	0.0235608498	0.8405431216
445	0.0237526871	0.8404602165
450	0.02386667092	0.8404111633
455	0.02395678312	0.8403727197
460	0.02405498443	0.8403301448
465	0.02416014873	0.8402851312
470	0.02424955331	0.8402457732
475	0.02458867892	0.8401000131
480	0.02470341447	0.8400507735
485	0.02478708011	0.8400154531
490	0.02488392047	0.8399729014
495	0.02498820262	0.8399284471
500	0.0250699976	0.8398928736
505	0.02515756902	0.8398553567
510	0.02525726942	0.8398123424
515	0.02550350589	0.8397058507
520	0.02559093392	0.8396679948
525	0.02567324536	0.8396326169
530	0.02575165836	0.8395992215
535	0.02585820898	0.839553218
540	0.0259407277	0.8395178767
545	0.02607831035	0.8394581857
550	0.02617804568	0.839415027
555	0.0262676158	0.8393765792
560	0.02634290484	0.8393444966
565	0.02642713883	0.8393074927
570	0.02658487766	0.839239765
575	0.0266840544	0.8391977115
580	0.02674954155	0.8391690131
585	0.02698902754	0.8390658725
590	0.02706777256	0.8390319582
595	0.02717765266	0.8389845587
600	0.0272494366	0.838953702
605	0.02736868085	0.8389023269
610	0.02747674457	0.8388555819
615	0.02757985484	0.8388116475
620	0.02778540898	0.8387226961
625	0.02786018069	0.838690423
630	0.02793621494	0.8386578177
635	0.02806822084	0.8386007967
640	0.02817231655	0.8385551522
645	0.02824738219	0.8385224175
650	0.0284785208	0.8384234191
655	0.02855781099	0.8383890235
660	0.02866554586	0.838342788
665	0.02873481462	0.8383128599
670	0.0288146613	0.838278377
675	0.02889154534	0.8382452174
680	0.02897415463	0.8382098209
685	0.02904246029	0.8381797224
690	0.02911604109	0.8381480081
695	0.02918669611	0.8381181971
700	0.02927284933	0.8380808906
705	0.02942519882	0.8380151757
710	0.0295044636	0.8379806391
715	0.02961138737	0.8379346296
720	0.02970703004	0.8378929662
725	0.02978477018	0.8378595015
730	0.02988769212	0.8378153078
735	0.0299823088	0.8377750054
740	0.03008922732	0.8377281975
745	0.03016635146	0.8376954304
750	0.03023423255	0.8376654377
755	0.03032790611	0.8376257081
760	0.03042429386	0.8375834078
765	0.03051278518	0.8375452902
770	0.03058583641	0.8375135104
775	0.03069044241	0.8374686769
780	0.03077726331	0.8374309685
785	0.03085736225	0.8373962421
